No.,Target,Significant --regex,Best Match Score,Best Match,Best Match Path,2nd Match Score,2nd Match,2nd Match Path,3rd Match Score,3rd Match,3rd Match Path
1,grinnell_3601_OBJ,False,95,grinnell_3601_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_34601_OBJ.jpg,/Volumes/exports/hadc-wca/OBJ,87,grinnell_13601_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ
2,grinnell_3611_OBJ,False,95,grinnell_3611_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_34611_OBJ.jpg,/Volumes/exports/hadc-wca/OBJ,87,grinnell_13611_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ
3,grinnell_3610_OBJ,False,95,grinnell_3610_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_34610_OBJ.jpg,/Volumes/exports/hadc-wca/OBJ,87,grinnell_13610_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ
4,grinnell_5555_OBJ,False,100,grinnell_5555_OBJ,/Volumes/exports/college-life/OBJ,84,grinnell_5557_OBJ.pdf,/Volumes/exports/phpp-dcl/OBJ,84,grinnell_5595_OBJ.pdf,/Volumes/exports/phpp-dcl/OBJ
5,grinnell_12920_OBJ,False,95,grinnell_12920_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_19920_OBJ.jpg,/Volumes/exports/college-life/OBJ,85,grinnell_12270_OBJ.pdf,/Volumes/exports/gwcc/OBJ
6,grinnell_4979_OBJ,False,87,grinnell_14979_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,84,grinnell_3479_OBJ.pdf,/Volumes/exports/college-life/OBJ,84,grinnell_4997_OBJ.pdf,/Volumes/exports/college-life/OBJ
7,grinnell_4977_OBJ,False,95,grinnell_4977_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_14977_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,84,grinnell_3477_OBJ.pdf,/Volumes/exports/college-life/OBJ
8,grinnell_26787_OBJ,False,95,grinnell_26787_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_26677_OBJ.jpg,/Volumes/exports/college-life/OBJ,85,grinnell_26678_OBJ.jpg,/Volumes/exports/college-life/OBJ
9,grinnell_5002_OBJ,False,95,grinnell_5002_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15002_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5700_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
10,grinnell_33987_OBJ,False,95,grinnell_33987_OBJ.tiff,/Volumes/exports/college-life/OBJ,85,grinnell_33928_OBJ.png,/Volumes/exports/college-life/OBJ,85,grinnell_33938_OBJ.jpg,/Volumes/exports/college-life/OBJ
11,grinnell_5161_OBJ,False,95,grinnell_5161_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15161_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_35161_OBJ.tiff,/Volumes/exports/college-life/OBJ
12,N/A,False,60,grinnell_1000_TN.jpg,/Volumes/exports/college-buildings/OBJ,60,grinnell_1030_TN.jpg,/Volumes/exports/college-buildings/OBJ,60,grinnell_10399_TN.jpg,/Volumes/exports/college-buildings/OBJ
13,grinnell_5292_OBJ,False,95,grinnell_5292_OBJ.tiff,/Volumes/exports/college-buildings/OBJ,87,grinnell_15292_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5829_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
14,grinnell_5759_OBJ,False,95,grinnell_5759_OBJ.tiff,/Volumes/exports/college-life/OBJ,88,grinnell_5555_OBJ,/Volumes/exports/college-life/OBJ,87,grinnell_15759_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ
15,grinnell_5760_OBJ,False,95,grinnell_5760_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_15760_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,85,grinnell_5680_OBJ.jpg.clientThumb,/Volumes/exports/phpp-community/OBJ
16,grinnell_4962_OBJ,False,95,grinnell_4962_OBJ.tiff,/Volumes/exports/college-life/OBJ,87,grinnell_14962_OBJ.jpg,/Volumes/exports/postcards-27-Feb/OBJ,84,grinnell_3462_OBJ.pdf,/Volumes/exports/college-life/OBJ
